session,duration_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vta1a.parquet,30,gyro_only,894.8,447.7866266615314,3.541419973647123,8.413589210951955
S-Vta1a.parquet,30,zupt_v1,894.8,608.8429245540152,5.605555555555555,8.413589210951955
S-Vta1a.parquet,30,gyro_only,1614.4,163.5012697278461,6.45011731679341,1.8959975420119122
S-Vta1a.parquet,30,zupt_v1,1614.4,330.4872347969651,0.5950613183092828,1.8959975420119122
S-Vta1a.parquet,30,gyro_only,1808.7,506.1080084550855,2.9326788580405534,0.3471293102574009
S-Vta1a.parquet,30,zupt_v1,1808.7,533.5814747576582,4.51530418339106,0.3471293102574009
S-Vta1a.parquet,30,gyro_only,2006.1,300.0958219599291,32.546860281363195,7.197516726468223
S-Vta1a.parquet,30,zupt_v1,2006.1,387.2951057472616,0.18494334078138408,7.197516726468223
S-Vta1a.parquet,30,gyro_only,1955.2,183.562561618412,9.478009208115685,19.480200148580536
S-Vta1a.parquet,30,zupt_v1,1955.2,304.02582679947506,2.9666666666666663,19.480200148580536
S-Vta1a.parquet,30,gyro_only,496.7,55.09532244071401,15.786447323496589,13.574506360755095
