session,duration_s,actual_dur_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vta1a.parquet,60,59.99,zupt_v1,945.0,989.7003560056366,2.35,58.87493600767493
S-Vta1a.parquet,60,60.0,gyro_only,1539.0,781.1675654826635,1.2744467673771718,6.00146311475541
S-Vta1a.parquet,60,60.0,zupt_v1,1539.0,1044.2808518515828,5.227777777777778,6.00146311475541
S-Vta1a.parquet,60,60.0,gyro_only,1997.0,1120.3075071902542,51.435758531214944,14.854486600919614
S-Vta1a.parquet,60,60.0,zupt_v1,1997.0,723.5117839898659,1.3663944965564125,14.854486600919614
S-Vta1a.parquet,60,60.0,gyro_only,817.0,455.8762622306512,37.764210491280245,23.55981009868907
S-Vta1a.parquet,60,60.0,zupt_v1,817.0,545.5891862496504,5.838888888888889,23.55981009868907
S-Vta1a.parquet,60,60.0,gyro_only,1422.0,503.38425245034273,10.813135177882483,33.30271715866601
S-Vta1a.parquet,60,60.0,zupt_v1,1422.0,794.6601085127986,4.876625900204621,33.30271715866601
S-Vta1a.parquet,120,120.0,gyro_only,363.0,1872.8081741946187,0.8076083654118618,12.715650818998341
S-Vta1a.parquet,120,120.0,zupt_v1,363.0,2495.8244559548057,6.281066168016813,12.715650818998341
S-Vta1a.parquet,120,120.1,gyro_only,1263.0,1637.3678733653815,38.81878854547287,41.10829010222858
S-Vta1a.parquet,120,120.1,zupt_v1,1263.0,2074.011627555633,4.219444444444444,41.10829010222858
S-Vta1a.parquet,120,120.0,gyro_only,1800.0,1861.637314434922,27.719735359078395,89.68614983814734
S-Vta1a.parquet,120,120.0,zupt_v1,1800.0,1551.564896511355,4.172222222222222,89.68614983814734
S-Vta1a.parquet,120,120.0,gyro_only,994.0,2190.8412178849453,64.02796644316619,13.924797683705947
S-Vta1a.parquet,120,120.0,zupt_v1,994.0,2388.679313749003,4.652777777777778,13.924797683705947
S-Vta1a.parquet,120,120.0,gyro_only,850.0,795.1828553212939,2.010740625000447,7.020576234667033
S-Vta1a.parquet,120,120.0,zupt_v1,850.0,1979.4349492490671,4.482914141031637,7.020576234667033
S-Vta1a.parquet,120,120.0,gyro_only,1612.0,872.9066654596402,2.1944444444444446,84.94609388241497
S-Vta1a.parquet,120,120.0,zupt_v1,1612.0,1453.9306108663795,2.1944444444444446,84.94609388241497
S-Vta1a.parquet,120,120.0,gyro_only,678.0,1227.8477243423881,46.06459169783142,38.528093607919686
S-Vta1a.parquet,120,120.0,zupt_v1,678.0,2187.830044551127,2.1506616329240615,38.528093607919686
S-Vta1a.parquet,120,120.0,gyro_only,2148.0,1665.3073954253846,3.5803203437714908,90.37047063890839
S-Vta1a.parquet,120,120.0,zupt_v1,2148.0,1711.0053455372313,4.283532568861737,90.37047063890839
S-Vta1a.parquet,300,300.0,gyro_only,1086.0,13998.34086621716,101.97031671095564,105.19043675366845
S-Vta1a.parquet,300,300.0,zupt_v1,1086.0,4983.864971604549,2.008604925913948,105.19043675366845
S-Vta1a.parquet,300,300.0,gyro_only,1948.0,16839.514893324606,41.20168859734543,165.0476135991139
S-Vta1a.parquet,300,300.0,zupt_v1,1948.0,1481.9628200741113,4.968080042621207,165.0476135991139
S-Vta1a.parquet,300,300.0,gyro_only,1423.0,2245.7509335846703,5.570014753973393,74.70351363344668
S-Vta1a.parquet,300,300.0,zupt_v1,1423.0,4409.314993066358,1.4055555555555554,74.70351363344668
S-Vta1a.parquet,300,300.0,gyro_only,303.0,4628.56319811118,48.95626224237757,105.28771854703791
S-Vta1a.parquet,300,300.0,zupt_v1,303.0,5739.83481974141,6.002777777777777,105.28771854703791
S-Vta1a.parquet,300,300.0,gyro_only,783.0,6525.750523698142,70.09052288841319,45.162443560359605
S-Vta1a.parquet,300,300.0,zupt_v1,783.0,4593.799921498186,6.077787350460148,45.162443560359605
