t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
45883,7.366666666666666,5.884968978881836,4.927968978881836,6.363707789733963,6.132779624592577
45893,7.366666666666666,6.525042278289795,5.568042278289795,6.864023618390089,6.700407714112995
45903,7.611111111111111,5.224148971557617,4.267148971557617,4.437610716261271,4.813388376421277
45913,7.611111111111111,5.069113952636719,4.112113952636719,3.6938973720730615,4.31989750826054
45923,7.611111111111111,5.390231830596924,4.433231830596924,4.817117178870043,5.086311389474099
45933,7.611111111111111,4.7554304428100584,3.7984304428100586,5.722708864127308,5.258990619342654
45943,7.611111111111111,4.387984497070312,3.4309844970703125,5.38196252603747,4.9070923428916124
45953,7.611111111111111,4.447044593811035,3.490044593811035,5.053770800570661,4.763779769422042
45963,7.611111111111111,5.157451850891113,4.200451850891113,5.5226277130842405,5.347958722561256
45973,7.611111111111111,4.8149139709472655,3.8579139709472656,4.981252099243176,4.904472686928449
45983,7.611111111111111,5.325436336517334,4.368436336517334,3.5700668811198266,4.387657448149276
45993,4.930555555555555,4.84475110244751,3.8877511024475098,4.697523083794168,4.766162511710638
46003,4.930555555555555,3.1324100322723387,2.175410032272339,4.41071016807681,3.7980815171099667
46013,4.930555555555555,2.873998744010925,1.9169987440109253,3.0414880679126752,2.9629159699312133
46023,4.930555555555555,4.048147661209106,3.0911476612091064,2.4879626208610506,3.2238764897526253
46033,4.930555555555555,5.137660247802734,4.180660247802734,3.155375000565562,4.105709553671211
46043,4.930555555555555,5.07799552154541,4.12099552154541,3.869293933609696,4.446891766489627
46053,4.930555555555555,5.288397533416748,4.331397533416748,4.42996935413909,4.838541739822753
46063,4.930555555555555,5.586989147186279,4.629989147186279,4.09494247600515,4.806633309455564
46073,4.930555555555555,5.511305553436279,4.554305553436279,4.506765374884735,4.987783469089799
46083,5.508333333333333,5.6421353645324706,4.685135364532471,4.193106219809092,4.8744672887791225
46093,5.508333333333333,5.551651699066162,4.594651699066162,4.975278020438498,5.248608846867476
46103,5.508333333333333,5.0562517471313475,4.099251747131348,4.414858735671499,4.721227503406587
46113,5.508333333333333,4.8881749935150145,3.9311749935150146,4.772018175297427,4.82781172660183
46123,5.508333333333333,6.0911943740844725,5.134194374084473,4.483274129436992,5.257605734321357
46133,5.508333333333333,5.125842792510986,4.168842792510986,5.67970962419611,5.414126352169247
46143,5.508333333333333,3.7034778423309325,2.7464778423309326,5.110600584624242,4.431800580680266
46153,5.508333333333333,4.018871528625488,3.0618715286254883,4.098803464160247,4.060521571845341
46163,5.508333333333333,4.497414333343506,3.540414333343506,3.8100803920763386,4.14249586407671
46173,3.138888888888889,3.219601852416992,2.262601852416992,3.8191240646022373,3.528991510671399
46183,3.138888888888889,3.1293196506500243,2.1723196506500244,3.572467844692368,3.358223114152859
46193,3.138888888888889,4.32961962890625,3.37261962890625,2.9663622724836083,3.626809742913456
46203,3.138888888888889,4.42523239326477,3.4682323932647705,3.3328180427524114,3.8619907911386435
46213,3.138888888888889,4.8068363494873045,3.8498363494873047,3.6274750237709723,4.198538899799164
46223,3.138888888888889,5.33979914855957,4.38279914855957,3.7110887701588275,4.4975707997934755
46233,3.138888888888889,4.370177251815796,3.413177251815796,4.62115530966671,4.499877250471993
46243,3.138888888888889,3.6059174365997313,2.6489174365997314,4.048215546210043,3.8349891313459046
46253,3.138888888888889,3.1833362407684325,2.2263362407684326,3.66988133070861,3.4345059453405695
46263,2.930555555555556,2.5481678075790404,1.5911678075790405,3.0745946356669323,2.8196828814006443
46273,2.930555555555556,2.8757350273132323,1.9187350273132324,2.8224898344734193,2.8483073921232522
46283,2.930555555555556,4.025721771240234,3.0687217712402344,2.945168951508228,3.4688281496905713
46293,2.930555555555556,3.7031240291595457,2.746124029159546,3.486575811916619,3.591648894543609
46303,2.930555555555556,2.97281335067749,2.0158133506774902,3.5135588928770622,3.25177189763731
46313,2.930555555555556,2.209679347991943,1.2526793479919434,3.003809262427693,2.6194809539864727
46323,2.930555555555556,1.7870513625144957,0.8300513625144958,2.5595125964312095,2.185422173124062
46333,2.930555555555556,1.727792007446289,0.7707920074462891,2.0338219863514557,1.885537166395948
46343,2.930555555555556,1.7537968583106993,0.7967968583106995,1.6528129526243553,1.701784384640962
46353,1.3083333333333333,1.7758957571983336,0.8188957571983337,1.5870078049664718,1.6785701037573562
30713,8.377777777777778,6.048732501983642,5.091732501983643,7.368191879848389,6.7219703442885015
30723,8.377777777777778,5.263600093841553,4.306600093841553,6.952666045513094,6.15032662013668
30733,8.377777777777778,5.310656768798828,4.353656768798828,6.088558680194867,5.714630557625864
30743,8.377777777777778,5.4641215629577635,4.507121562957764,5.984011050174453,5.735867691311388
30753,8.377777777777778,5.637674076080322,4.680674076080322,4.705102682771071,5.14770592006611
30763,8.377777777777778,6.495145065307617,5.538145065307617,4.429077116752936,5.404631895587633
30773,8.377777777777778,7.632409317016601,6.675409317016602,4.90500840945998,6.2173042387069914
30783,8.397222222222222,5.520684463500976,4.563684463500977,5.03461662107995,5.268125649289043
30793,8.397222222222222,5.784728748321533,4.827728748321533,4.744891467240493,5.238968130148647
30803,8.397222222222222,5.813897830963135,4.856897830963135,4.503986662818206,5.127088804690353
30813,8.397222222222222,5.117303592681885,4.160303592681885,3.060998862534619,4.001687927898168
30823,8.397222222222222,5.7052948303222655,4.748294830322266,3.2839155546606302,4.410983283485844
30833,8.397222222222222,4.442543966293335,3.485543966293335,2.1638156133176314,3.2541642153202552
30843,8.397222222222222,6.223466617584228,5.2664666175842285,3.041220429302103,4.554594779478103
30853,8.397222222222222,6.541275245666504,5.584275245666504,3.433657335901543,4.929845479587104
30863,8.397222222222222,5.294402820587158,4.337402820587158,3.0026707616871002,4.074029530099491
